"","locations.lon","locations.lat"
"898",-95.712891,37.09024
"899",NA,NA
"900",-79.3831843,43.653226
"901",-94.2162152,36.3628451
"902",NA,NA
"903",-64.1887761,-31.4200833
"904",-110.3308814,29.2972247
"905",NA,NA
"906",-100.3898876,20.5888184
"907",NA,NA
"908",-63.616672,-38.416097
"909",-115.1398296,36.1699412
"910",51.183884,25.354826
"911",NA,NA
"912",NA,NA
"913",NA,NA
"914",NA,NA
"915",NA,NA
"916",NA,NA
"917",-99.133208,19.4326077
"918",-43.1728965,-22.9068467
"919",106.8060388,-6.5971469
"920",-87.8654176,42.3015469
"921",NA,NA
"922",69.345116,30.375321
"923",-74.4056612,40.0583238
"924",118.796877,32.060255
"925",-74.0059413,40.7127837
"926",-74.297333,4.570868
"927",-93.0899578,44.9537029
"928",NA,NA
"929",NA,NA
"930",NA,NA
"931",-71.5723953,43.1938516
"932",-116.419389,38.8026097
"933",NA,NA
"934",-3.435973,55.378051
"935",-1.61778,54.978252
"936",-43.7112547,-22.6083065
"937",-99.133208,19.4326077
"938",NA,NA
"939",-93.287858,44.952959
"940",NA,NA
"941",-102.4107493,34.2331373
"942",NA,NA
"943",-74.0059413,40.7127837
"944",-84.3883717,33.755711
"945",-82.5306527,27.3364347
"946",-76.4921829,38.9784453
"947",NA,NA
"948",-77.8291259,34.2421285
"949",NA,NA
"950",-97.856109,27.5158689
"951",NA,NA
"952",NA,NA
"953",-71.0588801,42.3600825
"954",NA,NA
"955",-122.6479642,38.0370155
"956",NA,NA
"957",NA,NA
"958",-81.6943605,41.49932
"959",130.8456418,-12.4634403
"960",-118.2436849,34.0522342
"961",-74.1329207,40.9628758
"962",153.1932534,-28.6104322
"963",NA,NA
"964",-43.1728965,-22.9068467
"965",NA,NA
"966",-99.8606107,28.5219292
"967",-78.6568942,21.4691137
"968",-86.902298,32.3182314
"969",-93.2991931,44.9522896
"970",NA,NA
"971",-100.4995214,28.7091433
"972",NA,NA
"973",NA,NA
"974",-51.92528,-14.235004
"975",138.252924,36.204824
"976",NA,NA
"977",NA,NA
"978",-83.0457538,42.331427
"979",-74.4056612,40.0583238
"980",-95.712891,37.09024
"981",-79.8583721,36.5768046
"982",NA,NA
"983",NA,NA
"984",NA,NA
"985",-116.419389,34.9592083
"986",NA,NA
"987",-112.0263313,41.1616108
"988",NA,NA
"989",NA,NA
"990",NA,NA
"991",-118.2436849,34.0522342
"992",-122.6764816,45.5230622
"993",-82.9000751,32.1656221
"994",-74.0059413,40.7127837
"995",NA,NA
"996",-74.0059413,40.7127837
"997",-77.032522,-12.073236
"998",-63.9113296,10.9970723
"999",-84.3879824,33.7489954
"1000",-122.4166041,37.7767964
"1001",30.217636,12.862807
"1002",-83.9811014,34.1140497
"1003",-118.2436849,34.0522342
"1004",-105.305861,39.592433
"1005",NA,NA
"1006",NA,NA
"1007",-76.8720961,38.7849211
"1008",-74.2824862,40.6041777
"1009",-87.7126692,41.8807968
"1010",-80.3256056,27.4467056
"1011",NA,NA
"1012",-112.8279996,37.8421975
"1013",NA,NA
"1014",-77.82341,37.886976
"1015",NA,NA
"1016",-82.9000751,32.1656221
"1017",-94.3821724,38.9108408
"1018",NA,NA
"1019",NA,NA
"1020",NA,NA
"1021",-67.6066164,10.2441931
"1022",NA,NA
"1023",-86.8597102,35.6430184
"1024",NA,NA
"1025",-97.4867028,35.3395079
"1026",-111.0506774,39.2321322
"1027",NA,NA
"1028",-81.5157535,27.6648274
"1029",138.252924,36.204824
"1030",-79.9223592,-2.1709979
"1031",-81.5157535,27.6648274
"1032",-91.5679114,35.3098066
"1033",-74.4173877,40.8652865
"1034",-81.2420473,41.1575566
"1035",-85.1446144,41.1272329
"1036",-118.2436849,34.0522342
"1037",NA,NA
"1038",-58.3815591,-34.6036844
"1039",NA,NA
"1040",-83.3527097,42.36837
"1041",NA,NA
"1042",NA,NA
"1043",NA,NA
"1044",-84.3879824,33.7489954
"1045",NA,NA
"1046",116.1004894,-8.5769951
"1047",-43.1728965,-22.9068467
"1048",-58.3815591,-34.6036844
"1049",-99.9018131,31.9685988
"1050",-78.183406,-1.831239
"1051",NA,NA
"1052",-102.552784,23.634501
"1053",NA,NA
"1054",-99.133208,19.4326077
"1055",-103.3496092,20.6596988
"1056",NA,NA
"1057",-95.5377215,29.6185669
"1058",-121.4943996,38.5815719
"1059",NA,NA
"1060",2.213749,46.227638
"1061",-57.8816335,-34.8714241
"1062",-96.7969879,32.7766642
"1063",NA,NA
"1064",-87.6297982,41.8781136
"1065",-99.133208,19.4326077
"1066",NA,NA
"1067",NA,NA
"1068",NA,NA
"1069",-111.8910474,40.7607793
"1070",NA,NA
"1071",-80.038151,26.721265
"1072",NA,NA
"1073",-80.7898089,41.8650534
"1074",-73.087749,41.6032207
"1075",-89.7678746,39.5008866
"1076",-94.5785667,39.0997265
"1077",-104.990251,39.7392358
"1078",-37.6173695,-6.8967239
"1079",NA,NA
"1080",-122.5005311,42.4346247
"1081",-97.1060202,32.940444
"1082",-73.9441579,40.6781784
"1083",NA,NA
"1084",NA,NA
"1085",-84.7996573,33.3806716
"1086",-88.0309381,42.3478937
"1087",NA,NA
"1088",NA,NA
